".rownames","X2.5.","X25.","X50.","X75.","X97.5.","tree","varnames","prior","model"
"Lh",-67.45938265,-63.9466425,-62.685677,-61.7607855,-60.755630875,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"alpha1",0.011674,0.12220175,0.274486,0.514198,1.27356,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"beta1",0.518143975,0.884515,1.1348465,1.42943325,2.12858915,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"alpha2",0.011681,0.12541075,0.28677,0.546228,1.4058433,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"beta2",0.73820495,1.18061775,1.4748525,1.81641125,2.632708175,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.0.",0.00457397500000001,0.063199,0.144586,0.249366,0.448771075,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.1.",0.018972975,0.145143,0.250769,0.373418,0.624274125,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.0.",0.012964975,0.105168,0.192332,0.30299625,0.548247,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.1.",0.095601,0.21393275,0.315943,0.451491,0.76528005,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Lh",-46.991657075,-43.2249585,-41.8044265,-40.66583575,-39.081337975,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q12",0.015425,0.18034075,0.4573015,1.0161175,4.20964917499999,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q13",0.021471975,0.25866575,0.704479,1.9628,12.07874465,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q21",5.4221077,33.24697275,54.9607815,76.83753825,97.598615275,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q24",1.771111525,21.4950585,44.4515195,69.59128375,96.65611685,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q31",3.18084895,15.72152725,30.640026,54.03480075,93.8891074,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q34",0.512989175,8.46153625,27.942371,57.26390425,95.03272165,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
