".rownames","Mean","SD","Naive.SE","Time.series.SE","tree","varnames","prior","model"
"Lh",-63.058535095313,1.78256293349727,0.0012604623381677,0.00126046327148847,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"alpha1",0.3730054355245,0.496087748749223,0.000350787011204144,0.000351125116888664,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"beta1",1.1848563629775,0.455560745091774,0.00032213009209679,0.000322130275676293,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"alpha2",0.4040825388765,0.757170736622567,0.00053540056238183,0.000538921419091801,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"beta2",1.5333768546175,0.63669079076602,0.000450208375669678,0.000453220343458432,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.0.",0.167232792438,0.124586624454883,0.0000880960469971897,0.0000881048416617587,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.0.1.",0.2690785662625,0.160930073923952,0.000113794746568479,0.000113794799577113,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.0.",0.2160542724345,0.142870180755133,0.000101024473641303,0.000101024546422495,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Root...P.1.1.",0.347634369351,0.175468329707924,0.00012407484581995,0.000124074924982715,"iqtree","Rec_binary_v_bristle_binary","uniform","independent"
"Lh",-42.1231478147545,2.04375986788376,0.00144515646169753,0.00144567122261995,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q12",0.8567579016995,1.28473465283413,0.00090844458504436,0.000909456302162791,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q13",1.944131072745,3.42954617409741,0.00242505535609666,0.00242173272047765,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q21",54.3332827300355,26.6454126428443,0.0188411519672689,0.0188534641347674,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q24",46.0604108406005,28.4518466922659,0.0201184937333813,0.0201253032652231,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q31",36.882417736353,25.7531069818669,0.0182101965835007,0.0181907940611254,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q34",34.9773322698005,29.2012154624701,0.0206483774724021,0.0206797066589043,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q42",0.9480374960585,0.960269443840609,0.000679013035505929,0.000679721361328722,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"q43",2.7884665021735,2.39797156281724,0.00169562195316058,0.00169708873633741,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.0.0.",0.182503203332,0.0768291850081459,0.0000543264377122958,0.000054368908901506,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.0.1.",0.352537553047,0.0872934270215416,0.0000617257741999451,0.0000617585581011821,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.1.0.",0.3027091014005,0.0858898046394725,0.0000607332632953588,0.0000607742175316191,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Root...P.1.1.",0.1622501431055,0.0650244121562428,0.0000459792027783482,0.0000459262261245818,"iqtree","Rec_binary_v_bristle_binary","uniform","dependent"
"Lh",-62.941698642074,1.69004607383795,0.00119504303932852,0.00119504255754469,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"alpha1",0.3573134973475,0.332418533075443,0.000235055398929731,0.000234928891520861,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"beta1",1.1648523945815,0.40839418578182,0.000288778298163484,0.000288572674781405,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"alpha2",0.378624951468,0.367970414605653,0.000260194375443683,0.000260337225853554,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"beta2",1.50110011856,0.47716689864349,0.000337407949788566,0.000336948362697846,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.0.0.",0.1646167287355,0.123998363910903,0.0000876800839774371,0.0000877991080876901,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.0.1.",0.2687833763785,0.161609236583068,0.000114274987090269,0.00011427492082519,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.1.0.",0.2152524234075,0.143204951445606,0.000101261192266679,0.000101380858061727,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Root...P.1.1.",0.3513474710025,0.176670329469364,0.000124924788002249,0.000125039095697988,"iqtree","Rec_binary_v_bristle_binary","exp","independent"
"Lh",-41.5779995768165,1.85982847834428,0.0013150973288811,0.00131611773527898,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q12",0.5783147561315,0.766147098367278,0.000541747808641899,0.000541148311154785,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q13",0.834039546842,1.13109769476882,0.000799806850155505,0.000800456050790089,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q21",18.895037213661,13.9742373040574,0.00988127795960898,0.00988128069307525,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q24",13.1110508408475,11.832516515972,0.0083668526669456,0.00836332574637587,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q31",17.554445992251,10.3708498869784,0.00733329828175018,0.00733718315328786,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q34",10.296708744317,9.51074069189585,0.0067251092373464,0.00672172308063783,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q42",0.567420359115,0.588681279920013,0.000416260524989017,0.00041602875061419,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"q43",1.706669456872,0.980741893091899,0.000693489243199014,0.000694054351608214,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.0.0.",0.1405062761435,0.0747759479735675,0.0000528745798817621,0.0000529157126388508,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.0.1.",0.341126198931,0.108982274031468,0.0000770621049967819,0.0000769797278090192,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.1.0.",0.348911001339,0.112133648228841,0.0000792904630618003,0.0000792700025755156,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Root...P.1.1.",0.1694565228705,0.0870142277981316,0.0000615283505357698,0.0000615282767655784,"iqtree","Rec_binary_v_bristle_binary","exp","dependent"
"Lh",-64.374792316108,2.49006204437307,0.00176073975715143,0.00176633485505125,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"No.Off.Parmeters",1.384618,0.489353771631069,0.000346025370319542,0.000348087671016669,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"No.Off.Zero",0.088665,0.284259666813249,0.000201001938021477,0.000205256064610611,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
"alpha1",0.492479492177,0.38562501379341,0.000272678062248476,0.000273956691000741,"iqtree","Rec_binary_v_bristle_binary","rjhp","independent"
